Timestamp, Temperature (C), Temperature (F)
2025-01-04 21:12:48, -127.00, -196.60
2025-01-04 21:12:49, -127.00, -196.60
2025-01-04 21:12:51, -127.00, -196.60
2025-01-04 21:12:52, -127.00, -196.60
2025-01-04 21:12:54, -127.00, -196.60
2025-01-04 21:12:55, -127.00, -196.60
2025-01-04 21:12:57, -127.00, -196.60
2025-01-04 21:12:58, -127.00, -196.60
2025-01-04 21:13:00, -127.00, -196.60
2025-01-04 21:13:01, -127.00, -196.60
2025-01-04 21:13:03, -127.00, -196.60
2025-01-04 21:13:04, -127.00, -196.60
2025-01-04 21:13:06, -127.00, -196.60
2025-01-04 21:13:07, -127.00, -196.60
2025-01-04 21:13:09, -127.00, -196.60
2025-01-04 21:13:10, -127.00, -196.60
2025-01-04 21:13:12, -127.00, -196.60
2025-01-04 21:13:13, -127.00, -196.60
2025-01-04 21:13:15, -127.00, -196.60
2025-01-04 21:13:16, -127.00, -196.60
2025-01-04 21:13:18, -127.00, -196.60
2025-01-04 21:13:19, -127.00, -196.60
2025-01-04 21:13:21, -127.00, -196.60
2025-01-04 21:13:22, -127.00, -196.60
2025-01-04 21:13:24, -127.00, -196.60
2025-01-04 21:13:25, -127.00, -196.60
2025-01-04 21:13:27, -127.00, -196.60
2025-01-04 21:13:28, -127.00, -196.60
2025-01-04 21:13:30, -127.00, -196.60
2025-01-04 21:13:31, -127.00, -196.60
2025-01-04 21:13:33, -127.00, -196.60
2025-01-04 21:13:34, -127.00, -196.60
2025-01-04 21:13:36, -127.00, -196.60
2025-01-04 21:13:37, -127.00, -196.60
2025-01-04 21:13:39, -127.00, -196.60
2025-01-04 21:13:40, -127.00, -196.60
2025-01-04 21:13:42, -127.00, -196.60
2025-01-04 21:13:43, -127.00, -196.60
2025-01-04 21:13:45, -127.00, -196.60
2025-01-04 21:13:46, -127.00, -196.60
2025-01-04 21:13:48, -127.00, -196.60
2025-01-04 21:13:49, -127.00, -196.60
2025-01-04 21:13:51, -127.00, -196.60
2025-01-04 21:13:52, -127.00, -196.60
2025-01-04 21:13:54, -127.00, -196.60
2025-01-04 21:13:55, -127.00, -196.60
2025-01-04 21:13:57, -127.00, -196.60
2025-01-04 21:13:58, -127.00, -196.60
2025-01-04 21:14:00, -127.00, -196.60
2025-01-04 21:14:01, -127.00, -196.60
2025-01-04 21:14:03, -127.00, -196.60
2025-01-04 21:14:04, -127.00, -196.60
2025-01-04 21:14:06, -127.00, -196.60
2025-01-04 21:14:07, -127.00, -196.60
2025-01-04 21:14:09, -127.00, -196.60
2025-01-04 21:14:10, -127.00, -196.60
2025-01-04 21:14:12, -127.00, -196.60
2025-01-04 21:14:13, -127.00, -196.60
2025-01-04 21:14:15, -127.00, -196.60
2025-01-04 21:14:16, -127.00, -196.60
2025-01-04 21:14:18, -127.00, -196.60
2025-01-04 21:14:19, -127.00, -196.60
2025-01-04 21:14:21, -127.00, -196.60
